machine,co2_kg,kwh
Assembling_Machine1,6.836775364996553,9.766821949995077
Assembling_Machine2,253.77704624793697,362.53863749705283
Assembling_Machine4,192.3283444124266,274.75477773203795
Cutting_Machine1,1464.2774789612224,2091.824969944603
Cutting_Machine2,179.99354367670168,257.13363382385955
Cutting_Machine3,438.38184586749225,626.2597798107032
Cutting_Machine4,352.0144708608367,502.877815515481
Painting_Machine1,1496.2929595373935,2137.5613707677016
Painting_Machine3,145.82481536325793,208.3211648046542
Painting_Machine4,28.784538397837053,41.12076913976722
Routing_Machine1,1115.9597378883802,1594.2281969834034
Routing_Machine3,99.78774378925334,142.55391969893336
